HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
18,110,1080,Male,Remote Australia,59,2021,7,Multiple
18,110,1080,Male,Remote Australia,45,2021,7,Multiple
18,110,1080,Male,Remote Australia,58,2021,7,Multiple
4,130,240,Female,Very Remote Australia,30,2021,7,Single
22,70,1320,Female,Major Cities of Australia,28,2021,7,Single
1,60,70,Male,Major Cities of Australia,18,2021,7,Single
1,60,70,Male,Major Cities of Australia,18,2021,7,Single
20,60,1248,Male,Very Remote Australia,33,2021,7,Single
20,100,1214,Male,Inner Regional Australia,15,2021,7,Multiple
1,70,79,Male,Major Cities of Australia,17,2021,7,Single
21,80,1260,Male,Major Cities of Australia,31,2021,7,Single
10,100,600,Female,Outer Regional Australia,60,2021,7,Single
7,60,457,Female,Outer Regional Australia,51,2021,7,Single
11,110,672,Female,Outer Regional Australia,46,2021,7,Multiple
11,110,672,Male,Outer Regional Australia,46,2021,7,Multiple
10,100,600,Male,Inner Regional Australia,55,2021,7,Single
13,110,809,Male,Outer Regional Australia,67,2021,7,Single
11,100,660,Female,Inner Regional Australia,39,2021,7,Single
16,100,970,Male,Outer Regional Australia,33,2021,7,Single
17,60,1030,Male,Major Cities of Australia,27,2021,7,Multiple
14,100,840,Male,Outer Regional Australia,60,2021,7,Multiple
6,100,360,Female,Outer Regional Australia,39,2021,7,Multiple
6,100,360,Male,Outer Regional Australia,56,2021,7,Multiple
22,60,1320,Male,Major Cities of Australia,17,2021,7,Multiple
12,90,720,Male,Inner Regional Australia,49,2021,7,Multiple
10,100,600,Female,Inner Regional Australia,12,2021,7,Multiple
10,100,600,Female,Inner Regional Australia,29,2021,7,Multiple
6,110,410,Male,Inner Regional Australia,44,2021,7,Single
15,110,940,Male,Outer Regional Australia,40,2021,7,Single
15,110,940,Female,Outer Regional Australia,61,2021,7,Single
1,100,83,Male,Outer Regional Australia,19,2021,7,Single
16,60,960,Male,Major Cities of Australia,59,2021,7,Single
16,110,1010,Male,Inner Regional Australia,58,2021,7,Multiple
9,100,575,Male,Outer Regional Australia,63,2021,7,Single
15,100,900,Female,Outer Regional Australia,54,2021,7,Single
10,100,640,Female,Outer Regional Australia,55,2021,7,Multiple
15,40,930,Male,Major Cities of Australia,45,2021,7,Multiple
18,60,1090,Male,Major Cities of Australia,33,2021,7,Single
15,100,900,Male,Outer Regional Australia,59,2021,7,Single
6,60,410,Male,Inner Regional Australia,45,2021,7,Single
17,70,1050,Male,Major Cities of Australia,45,2021,7,Multiple
15,110,930,Male,Very Remote Australia,49,2021,7,Single
14,100,860,Male,Inner Regional Australia,40,2021,7,Single
15,100,947,Male,Outer Regional Australia,33,2021,7,Multiple
7,110,420,Male,Outer Regional Australia,7,2021,7,Multiple
7,110,420,Female,Outer Regional Australia,5,2021,7,Multiple
13,110,835,Male,Inner Regional Australia,73,2021,7,Single
6,80,395,Male,Major Cities of Australia,66,2021,7,Single
16,100,962,Male,Very Remote Australia,9,2021,7,Single
10,60,600,Female,Major Cities of Australia,79,2021,7,Multiple
22,50,1335,Male,Outer Regional Australia,55,2021,7,Single
2,80,140,Male,Major Cities of Australia,57,2021,7,Multiple
4,100,270,Male,Outer Regional Australia,57,2021,7,Single
12,100,720,Female,Inner Regional Australia,79,2021,7,Multiple
12,50,740,Female,Major Cities of Australia,84,2021,7,Single
16,60,975,Male,Inner Regional Australia,77,2021,7,Single
19,80,1178,Female,Outer Regional Australia,53,2021,7,Multiple
16,100,960,Female,Inner Regional Australia,24,2021,7,Multiple
14,110,848,Female,Outer Regional Australia,25,2021,7,Multiple
21,50,1301,Male,Inner Regional Australia,27,2021,7,Multiple
16,50,975,Male,Major Cities of Australia,19,2021,7,Multiple
17,50,1020,Male,Major Cities of Australia,17,2021,7,Single
6,70,360,Male,Major Cities of Australia,23,2021,7,Multiple
20,60,1255,Female,Major Cities of Australia,68,2021,7,Multiple
14,110,848,Male,Outer Regional Australia,36,2021,7,Multiple
4,60,240,Female,Major Cities of Australia,19,2021,7,Single
7,110,420,Female,Outer Regional Australia,35,2021,7,Multiple
17,100,1024,Male,Inner Regional Australia,30,2021,7,Single
21,50,1318,Male,Inner Regional Australia,81,2021,7,Single
14,60,840,Female,Major Cities of Australia,77,2021,7,Multiple
5,100,300,Male,Outer Regional Australia,37,2021,7,Single
19,70,1140,Male,Inner Regional Australia,52,2021,7,Single
3,110,225,Male,Major Cities of Australia,48,2021,7,Single
7,60,420,Male,Outer Regional Australia,53,2021,7,Single
22,100,1352,Male,Inner Regional Australia,22,2021,7,Single
10,60,604,Female,Major Cities of Australia,78,2021,7,Single
1,80,100,Male,Major Cities of Australia,26,2021,7,Multiple
3,100,180,Male,Outer Regional Australia,36,2021,7,Single
11,40,680,Female,Major Cities of Australia,64,2021,7,Single
23,50,1380,Male,Major Cities of Australia,24,2021,7,Single
11,60,694,Male,Major Cities of Australia,87,2021,7,Single
0,100,50,Male,Outer Regional Australia,51,2021,7,Single
15,50,918,Female,Inner Regional Australia,78,2021,7,Single
5,100,340,Male,Inner Regional Australia,36,2021,6,Single
4,100,240,Male,Outer Regional Australia,45,2021,6,Single
23,80,1380,Male,Major Cities of Australia,45,2021,6,Single
0,110,0,Male,Remote Australia,24,2021,6,Single
20,50,1236,Female,Major Cities of Australia,44,2021,6,Single
0,60,0,Male,Major Cities of Australia,32,2021,6,Single
5,90,325,Male,Inner Regional Australia,26,2021,6,Single
1,110,65,Male,Outer Regional Australia,50,2021,6,Multiple
22,80,1360,Male,Inner Regional Australia,27,2021,6,Single
23,100,1385,Male,Outer Regional Australia,30,2021,6,Single
2,100,120,Male,Inner Regional Australia,19,2021,6,Single
0,100,0,Male,Remote Australia,21,2021,6,Single
12,100,743,Female,Inner Regional Australia,19,2021,6,Multiple
14,80,840,Male,Outer Regional Australia,63,2021,6,Single
10,110,611,Male,Outer Regional Australia,51,2021,6,Single
14,80,878,Male,Inner Regional Australia,51,2021,6,Multiple
14,110,840,Female,Very Remote Australia,57,2021,6,Single
19,110,1150,Male,Outer Regional Australia,70,2021,6,Single
8,80,500,Female,Very Remote Australia,35,2021,6,Single
13,80,810,Male,Major Cities of Australia,71,2021,6,Multiple
13,80,805,Female,Major Cities of Australia,67,2021,6,Single
11,60,660,Male,Outer Regional Australia,84,2021,6,Multiple
14,100,840,Male,Outer Regional Australia,18,2021,6,Single
17,60,1020,Male,Inner Regional Australia,30,2021,6,Multiple
5,80,300,Male,Inner Regional Australia,86,2021,6,Multiple
8,100,480,Female,Inner Regional Australia,29,2021,6,Multiple
17,100,1020,Female,Very Remote Australia,37,2021,6,Single
16,100,960,Female,Inner Regional Australia,61,2021,6,Multiple
14,80,840,Female,Inner Regional Australia,43,2021,6,Multiple
8,100,480,Female,Outer Regional Australia,48,2021,6,Single
11,80,690,Male,Inner Regional Australia,64,2021,6,Single
15,60,900,Male,Major Cities of Australia,40,2021,6,Multiple
16,80,1010,Female,Outer Regional Australia,50,2021,6,Single
22,50,1320,Male,Major Cities of Australia,25,2021,6,Single
20,100,1200,Male,Outer Regional Australia,23,2021,6,Single
13,130,795,Male,Very Remote Australia,30,2021,6,Single
1,60,60,Male,Major Cities of Australia,27,2021,6,Single
14,50,878,Male,Major Cities of Australia,25,2021,6,Multiple
15,60,908,Male,Major Cities of Australia,52,2021,6,Multiple
18,70,1080,Male,Major Cities of Australia,29,2021,6,Multiple
6,80,360,Female,Remote Australia,47,2021,6,Single
17,80,1020,Male,Major Cities of Australia,26,2021,6,Multiple
6,50,360,Male,Inner Regional Australia,64,2021,6,Single
6,100,360,Male,Inner Regional Australia,18,2021,6,Multiple
6,50,360,Male,Outer Regional Australia,13,2021,6,Single
13,50,780,Male,Inner Regional Australia,65,2021,6,Single
15,100,938,Male,Outer Regional Australia,66,2021,6,Single
16,100,979,Male,Inner Regional Australia,67,2021,6,Multiple
13,100,808,Female,Inner Regional Australia,69,2021,6,Multiple
13,50,835,Male,Major Cities of Australia,73,2021,6,Multiple
15,60,937,Male,Major Cities of Australia,72,2021,6,Multiple
10,100,645,Male,Inner Regional Australia,66,2021,6,Multiple
18,80,1080,Male,Inner Regional Australia,51,2021,6,Multiple
5,80,358,Male,Major Cities of Australia,56,2021,6,Multiple
23,80,1380,Male,Inner Regional Australia,55,2021,6,Multiple
21,100,1260,Male,Outer Regional Australia,48,2021,6,Multiple
13,100,808,Female,Inner Regional Australia,77,2021,6,Multiple
22,110,1365,Male,Very Remote Australia,60,2021,6,Single
18,110,1110,Male,Very Remote Australia,16,2021,6,Single
13,110,786,Female,Outer Regional Australia,78,2021,6,Single
23,110,1410,Female,Major Cities of Australia,44,2021,6,Multiple
18,100,1080,Male,Outer Regional Australia,48,2021,6,Single
19,100,1155,Male,Inner Regional Australia,50,2021,6,Multiple
22,110,1365,Male,Very Remote Australia,54,2021,6,Single
22,110,1365,Female,Very Remote Australia,48,2021,6,Single
6,60,380,Female,Major Cities of Australia,25,2021,6,Multiple
0,100,0,Female,Outer Regional Australia,26,2021,6,Multiple
0,100,0,Male,Outer Regional Australia,23,2021,6,Multiple
8,100,495,Female,Inner Regional Australia,20,2021,6,Single
7,80,426,Male,Major Cities of Australia,22,2021,6,Multiple
6,100,415,Female,Outer Regional Australia,17,2021,6,Single
7,110,420,Male,Major Cities of Australia,27,2021,6,Multiple
11,100,710,Male,Outer Regional Australia,36,2021,6,Single
13,50,794,Female,Major Cities of Australia,75,2021,6,Single
19,60,1180,Male,Major Cities of Australia,19,2021,6,Multiple
11,60,712,Male,Major Cities of Australia,68,2021,6,Single
13,40,805,Female,Major Cities of Australia,83,2021,6,Single
9,60,540,Male,Major Cities of Australia,1,2021,6,Single
19,60,1189,Female,Major Cities of Australia,81,2021,6,Single
18,100,1080,Male,Outer Regional Australia,27,2021,6,Multiple
8,50,514,Female,Major Cities of Australia,53,2021,6,Single
14,60,890,Male,Major Cities of Australia,68,2021,6,Single
17,50,1065,Male,Inner Regional Australia,69,2021,6,Single
17,50,1065,Female,Inner Regional Australia,75,2021,6,Single
17,60,1070,Male,Inner Regional Australia,83,2021,6,Single
17,50,1035,Male,Major Cities of Australia,84,2021,6,Single
7,60,420,Female,Major Cities of Australia,84,2021,6,Single
21,50,1315,Male,Major Cities of Australia,70,2021,6,Single
9,70,554,Female,Major Cities of Australia,80,2021,6,Single
12,70,725,Male,Major Cities of Australia,89,2021,6,Single
20,100,1255,Male,Outer Regional Australia,18,2021,5,Single
4,110,285,Female,Outer Regional Australia,57,2021,5,Single
2,60,150,Female,Inner Regional Australia,23,2021,5,Single
2,70,133,Female,Outer Regional Australia,36,2021,5,Multiple
19,130,1185,Male,Very Remote Australia,29,2021,5,Multiple
4,110,277,Male,Outer Regional Australia,29,2021,5,Multiple
21,80,1268,Female,Inner Regional Australia,57,2021,5,Single
18,60,1100,Male,Major Cities of Australia,45,2021,5,Single
23,100,1380,Female,Outer Regional Australia,46,2021,5,Single
1,50,60,Male,Outer Regional Australia,16,2021,5,Single
20,100,1232,Male,Inner Regional Australia,17,2021,5,Multiple
8,100,518,Male,Inner Regional Australia,37,2021,5,Single
6,100,412,Male,Outer Regional Australia,45,2021,5,Single
12,80,779,Male,Inner Regional Australia,43,2021,5,Single
13,80,809,Female,Outer Regional Australia,58,2021,5,Multiple
8,50,490,Female,Major Cities of Australia,46,2021,5,Multiple
12,80,760,Male,Outer Regional Australia,57,2021,5,Multiple
12,80,745,Male,Inner Regional Australia,48,2021,5,Multiple
21,100,1260,Male,Remote Australia,67,2021,5,Multiple
14,110,899,Male,Outer Regional Australia,69,2021,5,Multiple
1,60,60,Female,Major Cities of Australia,85,2021,5,Multiple
13,70,795,Female,Major Cities of Australia,67,2021,5,Multiple
16,50,960,Male,Inner Regional Australia,18,2021,5,Single
16,100,960,Male,Outer Regional Australia,39,2021,5,Single
15,60,902,Male,Major Cities of Australia,26,2021,5,Multiple
9,100,540,Male,Outer Regional Australia,78,2021,5,Multiple
15,110,900,Female,Remote Australia,30,2021,5,Multiple
16,100,1003,Male,Outer Regional Australia,33,2021,5,Single
10,100,600,Male,Remote Australia,36,2021,5,Single
17,100,1020,Male,Outer Regional Australia,39,2021,5,Single
15,80,941,Male,Outer Regional Australia,51,2021,5,Multiple
6,100,400,Male,Outer Regional Australia,50,2021,5,Single
9,110,552,Male,Very Remote Australia,52,2021,5,Single
0,50,27,Male,Remote Australia,24,2021,5,Single
12,50,735,Male,Major Cities of Australia,57,2021,5,Single
15,50,900,Male,Major Cities of Australia,48,2021,5,Multiple
16,60,960,Male,Major Cities of Australia,20,2021,5,Multiple
17,100,1065,Male,Inner Regional Australia,52,2021,5,Single
19,110,1140,Male,Very Remote Australia,28,2021,5,Multiple
4,110,285,Male,Outer Regional Australia,27,2021,5,Single
21,60,1300,Male,Inner Regional Australia,29,2021,5,Single
10,100,618,Female,Outer Regional Australia,53,2021,5,Multiple
6,100,375,Male,Inner Regional Australia,56,2021,5,Single
16,50,960,Male,Outer Regional Australia,16,2021,5,Single
16,100,970,Male,Inner Regional Australia,65,2021,5,Multiple
10,60,600,Male,Inner Regional Australia,66,2021,5,Single
11,60,710,Female,Inner Regional Australia,71,2021,5,Multiple
17,100,1020,Male,Outer Regional Australia,69,2021,5,Single
12,80,720,Male,Inner Regional Australia,71,2021,5,Multiple
8,60,480,Female,Inner Regional Australia,70,2021,5,Single
14,100,869,Female,Inner Regional Australia,40,2021,5,Single
18,100,1125,Male,Inner Regional Australia,61,2021,5,Multiple
22,100,1335,Male,Inner Regional Australia,52,2021,5,Single
1,100,75,Male,Outer Regional Australia,21,2021,5,Single
18,40,1138,Male,Major Cities of Australia,25,2021,5,Multiple
16,100,1015,Male,Inner Regional Australia,37,2021,5,Multiple
11,60,660,Female,Major Cities of Australia,90,2021,5,Multiple
18,80,1105,Male,Outer Regional Australia,20,2021,5,Single
20,80,1245,Male,Inner Regional Australia,18,2021,5,Single
18,50,1082,Male,Inner Regional Australia,17,2021,5,Multiple
1,50,65,Male,Very Remote Australia,54,2021,5,Single
0,50,30,Male,Major Cities of Australia,21,2021,5,Single
21,50,1285,Male,Outer Regional Australia,20,2021,5,Multiple
20,80,1230,Female,Major Cities of Australia,14,2021,5,Single
1,100,112,Male,Inner Regional Australia,32,2021,5,Single
15,50,955,Female,Major Cities of Australia,88,2021,5,Single
18,80,1105,Male,Major Cities of Australia,69,2021,5,Single
1,60,117,Male,Major Cities of Australia,19,2021,4,Single
20,60,1220,Female,Major Cities of Australia,46,2021,4,Single
19,50,1145,Male,Inner Regional Australia,64,2021,4,Multiple
21,100,1260,Female,Inner Regional Australia,23,2021,4,Single
5,80,330,Male,Inner Regional Australia,37,2021,4,Single
18,130,1080,Male,Remote Australia,30,2021,4,Single
4,80,265,Female,Inner Regional Australia,43,2021,4,Single
4,80,265,Male,Inner Regional Australia,47,2021,4,Single
18,80,1080,Male,Major Cities of Australia,31,2021,4,Multiple
23,110,1380,Female,Remote Australia,44,2021,4,Single
5,100,320,Male,Inner Regional Australia,23,2021,4,Multiple
4,80,265,Male,Inner Regional Australia,5,2021,4,Single
9,60,540,Male,Major Cities of Australia,46,2021,4,Multiple
7,100,420,Male,Outer Regional Australia,62,2021,4,Single
14,80,840,Male,Outer Regional Australia,52,2021,4,Single
21,70,1260,Male,Major Cities of Australia,55,2021,4,Single
10,100,608,Male,Outer Regional Australia,62,2021,4,Multiple
9,60,550,Male,Major Cities of Australia,30,2021,4,Single
15,100,915,Male,Outer Regional Australia,58,2021,4,Single
6,60,418,Male,Major Cities of Australia,56,2021,4,Multiple
12,50,775,Male,Major Cities of Australia,57,2021,4,Multiple
18,100,1092,Male,Inner Regional Australia,85,2021,4,Single
6,100,390,Male,Outer Regional Australia,24,2021,4,Single
6,100,360,Male,Inner Regional Australia,21,2021,4,Single
10,60,600,Male,Inner Regional Australia,31,2021,4,Multiple
14,100,860,Male,Inner Regional Australia,29,2021,4,Single
15,70,900,Male,Major Cities of Australia,28,2021,4,Single
11,60,665,Female,Major Cities of Australia,84,2021,4,Single
2,80,150,Male,Major Cities of Australia,24,2021,4,Single
12,70,765,Male,Major Cities of Australia,31,2021,4,Multiple
23,70,1380,Male,Inner Regional Australia,21,2021,4,Single
17,80,1050,Male,Inner Regional Australia,39,2021,4,Single
13,80,780,Male,Major Cities of Australia,62,2021,4,Multiple
17,60,1020,Male,Major Cities of Australia,28,2021,4,Multiple
12,100,735,Male,Outer Regional Australia,62,2021,4,Multiple
12,100,725,Female,Inner Regional Australia,62,2021,4,Multiple
1,100,105,Male,Outer Regional Australia,19,2021,4,Single
19,100,1140,Male,Inner Regional Australia,18,2021,4,Single
19,100,1140,Male,Inner Regional Australia,18,2021,4,Single
19,80,1176,Male,Outer Regional Australia,39,2021,4,Single
20,70,1230,Male,Major Cities of Australia,32,2021,4,Multiple
6,110,390,Male,Outer Regional Australia,66,2021,4,Single
13,100,780,Male,Outer Regional Australia,65,2021,4,Multiple
12,100,724,Male,Outer Regional Australia,65,2021,4,Single
5,110,320,Female,Remote Australia,29,2021,4,Single
14,100,860,Male,Major Cities of Australia,23,2021,4,Multiple
17,110,1021,Male,Major Cities of Australia,53,2021,4,Multiple
11,100,660,Female,Inner Regional Australia,77,2021,4,Multiple
18,100,1080,Male,Inner Regional Australia,55,2021,4,Multiple
23,100,1380,Male,Very Remote Australia,35,2021,4,Single
6,100,380,Male,Major Cities of Australia,21,2021,4,Multiple
17,100,1048,Male,Outer Regional Australia,23,2021,4,Single
10,100,600,Male,Inner Regional Australia,36,2021,4,Multiple
11,100,660,Male,Inner Regional Australia,38,2021,4,Multiple
17,50,1069,Male,Major Cities of Australia,31,2021,4,Multiple
16,100,960,Female,Outer Regional Australia,85,2021,4,Multiple
16,100,960,Male,Outer Regional Australia,76,2021,4,Multiple
16,100,960,Male,Outer Regional Australia,87,2021,4,Multiple
14,110,863,Male,Inner Regional Australia,86,2021,4,Single
13,40,812,Male,Inner Regional Australia,91,2021,4,Single
19,60,1160,Female,Major Cities of Australia,25,2021,4,Single
20,60,1228,Male,Major Cities of Australia,54,2021,4,Single
22,80,1348,Male,Major Cities of Australia,19,2021,4,Single
21,50,1270,Male,Inner Regional Australia,23,2021,4,Multiple
13,50,780,Female,Major Cities of Australia,87,2021,4,Single
5,100,300,Female,Remote Australia,38,2021,4,Single
8,60,516,Female,Inner Regional Australia,61,2021,4,Single
21,110,1265,Female,Major Cities of Australia,21,2021,4,Single
10,60,643,Male,Major Cities of Australia,93,2021,4,Single
17,60,1067,Male,Major Cities of Australia,15,2021,4,Single
19,100,1140,Male,Outer Regional Australia,35,2021,3,Single
4,100,280,Male,Major Cities of Australia,26,2021,3,Single
19,100,1140,Male,Major Cities of Australia,53,2021,3,Multiple
18,50,1120,Male,Major Cities of Australia,23,2021,3,Single
2,50,175,Male,Major Cities of Australia,23,2021,3,Single
1,80,68,Male,Major Cities of Australia,19,2021,3,Multiple
2,80,145,Male,Inner Regional Australia,20,2021,3,Single
2,70,120,Male,Outer Regional Australia,50,2021,3,Multiple
18,70,1112,Female,Major Cities of Australia,14,2021,3,Single
1,80,60,Male,Major Cities of Australia,55,2021,3,Multiple
1,100,109,Male,Outer Regional Australia,28,2021,3,Single
4,70,260,Male,Major Cities of Australia,62,2021,3,Single
19,100,1155,Female,Major Cities of Australia,47,2021,3,Multiple
22,100,1320,Male,Outer Regional Australia,29,2021,3,Multiple
12,100,720,Female,Inner Regional Australia,32,2021,3,Single
17,100,1055,Male,Inner Regional Australia,39,2021,3,Single
16,100,960,Male,Outer Regional Australia,63,2021,3,Single
11,100,660,Female,Outer Regional Australia,53,2021,3,Multiple
12,110,730,Female,Very Remote Australia,57,2021,3,Multiple
9,60,597,Male,Major Cities of Australia,45,2021,3,Multiple
8,60,495,Male,Remote Australia,57,2021,3,Multiple
17,60,1062,Female,Major Cities of Australia,60,2021,3,Multiple
16,100,960,Female,Inner Regional Australia,52,2021,3,Multiple
12,110,730,Male,Very Remote Australia,23,2021,3,Multiple
12,60,720,Male,Inner Regional Australia,61,2021,3,Multiple
7,90,420,Female,Remote Australia,50,2021,3,Single
15,100,950,Female,Inner Regional Australia,58,2021,3,Single
16,100,985,Male,Inner Regional Australia,51,2021,3,Single
9,100,540,Male,Inner Regional Australia,28,2021,3,Multiple
9,100,575,Male,Inner Regional Australia,53,2021,3,Multiple
